car_id,problem_category
72127,LANE DEPARTURE
223498,LANE DEPARTURE
258981,LANE DEPARTURE
72682,LANE DEPARTURE
161728,LANE DEPARTURE
105513,LANE DEPARTURE
218959,LANE DEPARTURE
209014,LANE DEPARTURE
32196,LANE DEPARTURE
32437,LANE DEPARTURE
207233,LANE DEPARTURE
137447,LANE DEPARTURE
75176,LANE DEPARTURE
21782,LANE DEPARTURE
288738,LANE DEPARTURE
146060,LANE DEPARTURE
92048,LANE DEPARTURE
209991,LANE DEPARTURE
282671,LANE DEPARTURE
286708,LANE DEPARTURE
199951,LANE DEPARTURE
89519,LANE DEPARTURE
85249,LANE DEPARTURE
70808,LANE DEPARTURE
96982,LANE DEPARTURE
69921,LANE DEPARTURE
11173,LANE DEPARTURE
37078,LANE DEPARTURE
278273,LANE DEPARTURE
196101,LANE DEPARTURE
117147,LANE DEPARTURE
281176,LANE DEPARTURE
214300,LANE DEPARTURE
187248,LANE DEPARTURE
74201,LANE DEPARTURE
198917,LANE DEPARTURE
295352,LANE DEPARTURE
86715,LANE DEPARTURE
102982,LANE DEPARTURE
41466,LANE DEPARTURE
238155,LANE DEPARTURE
87923,LANE DEPARTURE
253039,LANE DEPARTURE
90554,LANE DEPARTURE
189736,LANE DEPARTURE
282076,LANE DEPARTURE
279775,LANE DEPARTURE
126261,LANE DEPARTURE
198614,LANE DEPARTURE
50910,LANE DEPARTURE
36312,LANE DEPARTURE
257056,LANE DEPARTURE
32890,LANE DEPARTURE
66593,LANE DEPARTURE
14490,LANE DEPARTURE
206891,LANE DEPARTURE
88008,LANE DEPARTURE
67129,LANE DEPARTURE
177168,LANE DEPARTURE
278734,LANE DEPARTURE
292394,LANE DEPARTURE
184755,LANE DEPARTURE
254562,LANE DEPARTURE
15249,LANE DEPARTURE
111798,LANE DEPARTURE
232769,LANE DEPARTURE
24483,LANE DEPARTURE
181156,LANE DEPARTURE
146080,LANE DEPARTURE
176383,LANE DEPARTURE
142582,LANE DEPARTURE
91561,LANE DEPARTURE
64949,LANE DEPARTURE
243870,LANE DEPARTURE
62720,LANE DEPARTURE
228805,LANE DEPARTURE
288075,LANE DEPARTURE
233199,LANE DEPARTURE
257621,LANE DEPARTURE
89685,LANE DEPARTURE
4633,LANE DEPARTURE
16769,LANE DEPARTURE
92836,LANE DEPARTURE
230816,LANE DEPARTURE
65176,LANE DEPARTURE
136071,LANE DEPARTURE
24309,LANE DEPARTURE
148231,LANE DEPARTURE
184588,LANE DEPARTURE
28225,LANE DEPARTURE
11847,LANE DEPARTURE
144943,LANE DEPARTURE
22194,LANE DEPARTURE
289241,LANE DEPARTURE
248176,LANE DEPARTURE
115955,LANE DEPARTURE
289151,LANE DEPARTURE
228987,LANE DEPARTURE
91410,LANE DEPARTURE
120891,LANE DEPARTURE
195286,LANE DEPARTURE
219668,LANE DEPARTURE
3537,LANE DEPARTURE
54627,LANE DEPARTURE
43247,LANE DEPARTURE
61721,LANE DEPARTURE
250686,LANE DEPARTURE
8323,LANE DEPARTURE
293827,LANE DEPARTURE
251286,LANE DEPARTURE
265324,LANE DEPARTURE
196605,LANE DEPARTURE
73074,LANE DEPARTURE
41346,LANE DEPARTURE
229297,LANE DEPARTURE
79175,LANE DEPARTURE
179099,LANE DEPARTURE
24032,LANE DEPARTURE
95156,LANE DEPARTURE
113649,LANE DEPARTURE
100349,LANE DEPARTURE
97507,LANE DEPARTURE
131668,LANE DEPARTURE
198678,LANE DEPARTURE
197622,LANE DEPARTURE
292087,LANE DEPARTURE
257430,LANE DEPARTURE
206665,LANE DEPARTURE
190722,LANE DEPARTURE
202487,LANE DEPARTURE
161741,LANE DEPARTURE
176632,LANE DEPARTURE
10949,LANE DEPARTURE
25004,LANE DEPARTURE
232189,LANE DEPARTURE
92480,LANE DEPARTURE
161571,LANE DEPARTURE
49255,LANE DEPARTURE
62333,LANE DEPARTURE
251655,LANE DEPARTURE
146925,LANE DEPARTURE
48482,LANE DEPARTURE
64983,LANE DEPARTURE
236899,LANE DEPARTURE
74367,LANE DEPARTURE
97201,LANE DEPARTURE
144522,LANE DEPARTURE
101796,LANE DEPARTURE
126465,LANE DEPARTURE
166257,LANE DEPARTURE
281252,LANE DEPARTURE
132969,LANE DEPARTURE
255143,LANE DEPARTURE
147891,LANE DEPARTURE
253662,LANE DEPARTURE
178085,LANE DEPARTURE
85143,LANE DEPARTURE
193678,LANE DEPARTURE
6824,LANE DEPARTURE
