ID,uri
5,gs://bq-mm-benchmark-mmqa-images/0b3b608ba2bf35865660df51510e8fe1.jpg
4,gs://bq-mm-benchmark-mmqa-images/0d67a3e20fb8748df737f766d0a799c8.jpg
4,gs://bq-mm-benchmark-mmqa-images/0e588abf26b1fba7d94e502ad20fd5f4.jpg
11,gs://bq-mm-benchmark-mmqa-images/0c1325fbfa8b3ce966452724f8671129.jpg
5,gs://bq-mm-benchmark-mmqa-images/0c1e7b43caf99b86bd3db14061c8cae3.jpg
4,gs://bq-mm-benchmark-mmqa-images/0c89900e72bcb8c956a97c6d7dc3b5f2.jpg
5,gs://bq-mm-benchmark-mmqa-images/0bba79d4eec60537f1abb64c624e8341.jpg
4,gs://bq-mm-benchmark-mmqa-images/0d2a42ad9a8d7cb63d92301462adb06a.jpg
1,gs://bq-mm-benchmark-mmqa-images/0d2a42ad9a8d7cb63d92301462adb06a.jpg
4,gs://bq-mm-benchmark-mmqa-images/00de735c3356e632af94678c77f57c18.jpg
4,gs://bq-mm-benchmark-mmqa-images/0c799fb88d645302e363c03b68a608ce.jpg
11,gs://bq-mm-benchmark-mmqa-images/0bf44cd47c202f590ef58e012c52117e.jpg
5,gs://bq-mm-benchmark-mmqa-images/0b7b1e2bb45373134a4c1e94dd7ee85e.jpg
11,gs://bq-mm-benchmark-mmqa-images/0cf5636ed39f1af90dc53df7ea6ffe5b.jpg
1,gs://bq-mm-benchmark-mmqa-images/0c40c902d12029635fb05ef55769fad4.jpg
11,gs://bq-mm-benchmark-mmqa-images/0cb5e772ffd753bd3df08aa157692540.jpg
1,gs://bq-mm-benchmark-mmqa-images/0cb5e772ffd753bd3df08aa157692540.jpg
5,gs://bq-mm-benchmark-mmqa-images/5588a1833b8fa95fe1b0ed520e447d64.jpg
5,gs://bq-mm-benchmark-mmqa-images/0dace3c09e03f47efc4d0d6808b75a41.jpg
6,gs://bq-mm-benchmark-mmqa-images/0a2c3d9697a848dec1f0fc055990d657.jpg
11,gs://bq-mm-benchmark-mmqa-images/0d2e09edf3ab74cad451615214b94d6d.jpg
6,gs://bq-mm-benchmark-mmqa-images/0d0dd3ccfb9709cd069584f463d89a59.jpg
11,gs://bq-mm-benchmark-mmqa-images/0b960f11a3770da3a8ab33a585fe290c.jpg
5,gs://bq-mm-benchmark-mmqa-images/0c0fbc00f99235ec607b16e17f10979f.jpg
4,gs://bq-mm-benchmark-mmqa-images/0cb7529e3db48a6c8dc92c0eb6dfd8d0.jpg
11,gs://bq-mm-benchmark-mmqa-images/0bc7fba048c6f2101ab32ec02df0843c.jpg
6,gs://bq-mm-benchmark-mmqa-images/0a8323480f0ef71d2096efacd8ca1742.jpg
4,gs://bq-mm-benchmark-mmqa-images/0e5ef5756c89f15f43bb002c748fad6f.jpg
11,gs://bq-mm-benchmark-mmqa-images/0c565efa82f7ca12dc98cd908e11ed5e.jpg
1,gs://bq-mm-benchmark-mmqa-images/0c565efa82f7ca12dc98cd908e11ed5e.jpg
2,gs://bq-mm-benchmark-mmqa-images/0a7ad8727ebeccfc16a44c9b68d4d30e.jpg
4,gs://bq-mm-benchmark-mmqa-images/0aac49ab17145acc4c0e6ecd9dc4d987.jpg
4,gs://bq-mm-benchmark-mmqa-images/0b4b3fa98627daa78c49b8b6655c5df7.jpg
6,gs://bq-mm-benchmark-mmqa-images/0d4e2955959ed0404bf8d869c66f85d9.jpg
