ID,uri,color
6,gs://bq-mm-benchmark-mmqa-images/0a3833c734bc95406f7fe5ecf0657b51.jpg,Red
5,gs://bq-mm-benchmark-mmqa-images/0b57c87c2643a49d590325127d9812a8.jpg,Orange
6,gs://bq-mm-benchmark-mmqa-images/0ac83693b42f451f27c992a887c38887.jpg,Blue
5,gs://bq-mm-benchmark-mmqa-images/0aa3794a64a4e5a965406bf7eec17f23.jpg,Red
5,gs://bq-mm-benchmark-mmqa-images/0ad714fcbee3683428d79fb0a55e944c.jpg,Purple
6,gs://bq-mm-benchmark-mmqa-images/0bfaa418914214344c69f91bff67403d.jpg,Green
6,gs://bq-mm-benchmark-mmqa-images/0cb5e772ffd753bd3df08aa157692540.jpg,White
4,gs://bq-mm-benchmark-mmqa-images/42c88eafedfab5203c72e1d2ec1c2f37.jpg,Not applicable
6,gs://bq-mm-benchmark-mmqa-images/0aa3794a64a4e5a965406bf7eec17f23.jpg,Red
1,gs://bq-mm-benchmark-mmqa-images/0a3833c734bc95406f7fe5ecf0657b51.jpg,Red
1,gs://bq-mm-benchmark-mmqa-images/42c88eafedfab5203c72e1d2ec1c2f37.jpg,No logo is clearly visible or identifiable in the image.
4,gs://bq-mm-benchmark-mmqa-images/0af9e872e3797d06111a70eef390a695.jpg,Black and white
11,gs://bq-mm-benchmark-mmqa-images/0c7d52ade71694ced9bb64864d32c7be.jpg,There is no logo visible in the image.
4,gs://bq-mm-benchmark-mmqa-images/0a1a44a0147b93d93a8dcbda6d1519f2.jpg,White
1,gs://bq-mm-benchmark-mmqa-images/0d8c8085d56ca1486b62046cc9fd1a5f.jpg,Yellow
4,gs://bq-mm-benchmark-mmqa-images/0a86139ce572199fc2407a51d137639c.jpg,Black
6,gs://bq-mm-benchmark-mmqa-images/0e7eac2ad4785f63d08c3250039857f2.jpg,Orange
4,gs://bq-mm-benchmark-mmqa-images/0e588abf26b1fba7d94e502ad20fd5f4.jpg,Red
1,gs://bq-mm-benchmark-mmqa-images/0b256915936f8a7be8fbd9292104763b.jpg,Purple
11,gs://bq-mm-benchmark-mmqa-images/0aaac3d9dc711c855728f53ed422f61a.jpg,N/A
1,gs://bq-mm-benchmark-mmqa-images/0c8a2cdb2c772fe8c11973c1823a48fe.jpg,Not discernible
4,gs://bq-mm-benchmark-mmqa-images/0e7a227da7e96c1b2db30e3817dd4300.jpg,Black
11,gs://bq-mm-benchmark-mmqa-images/0e372ef850391ab72ed5ae8bdedc90bb.jpg,Silver
6,gs://bq-mm-benchmark-mmqa-images/0b4b3fa98627daa78c49b8b6655c5df7.jpg,Red
5,gs://bq-mm-benchmark-mmqa-images/0a5dfed51e6aa680993b58db2f5192d5.jpg,Black
4,gs://bq-mm-benchmark-mmqa-images/0b896bf6648d7daabfed0f5ea523139a.jpg,Gray
6,gs://bq-mm-benchmark-mmqa-images/0a7ad8727ebeccfc16a44c9b68d4d30e.jpg,Red
5,gs://bq-mm-benchmark-mmqa-images/0e235fbbbed4e5d19b51f8fd91e027a4.jpg,White
11,gs://bq-mm-benchmark-mmqa-images/0a1e97581a8d18fecf8e4b6dd95b1f6f.jpg,Not applicable
6,gs://bq-mm-benchmark-mmqa-images/0a185b6389ce9219c35af51be1b2af0b.jpg,Red
5,gs://bq-mm-benchmark-mmqa-images/0a3833c734bc95406f7fe5ecf0657b51.jpg,Red
6,gs://bq-mm-benchmark-mmqa-images/0df27fb5314dd4abea0495ab1fd80afa.jpg,White
