Airlines,uri
Tunisair,gs://bq-mm-benchmark-mmqa-images/0cb5e772ffd753bd3df08aa157692540.jpg
Toki Air,gs://bq-mm-benchmark-mmqa-images/0c9536077c842559515af0b245091304.jpg
Lucky Air,gs://bq-mm-benchmark-mmqa-images/0cb5e772ffd753bd3df08aa157692540.jpg
SCAT Airlines,gs://bq-mm-benchmark-mmqa-images/0e4fc151817888f808b35fae241e907e.jpg
Nile Air,gs://bq-mm-benchmark-mmqa-images/0a09689860fb4a2ad69f55b611bfe20b.jpg
Viva,gs://bq-mm-benchmark-mmqa-images/00bf7c082b16e464e366675e8e5d1f52.jpg
Lucky Air,gs://bq-mm-benchmark-mmqa-images/0adbb59deeca4ec27f86f873f700fd17.jpg
Grand Canyon Airlines,gs://bq-mm-benchmark-mmqa-images/0a09689860fb4a2ad69f55b611bfe20b.jpg
Skymark Airlines,gs://bq-mm-benchmark-mmqa-images/0df0bf68cf5dbe09885d2a2771bd9baf.jpg
Lion Air,gs://bq-mm-benchmark-mmqa-images/00b659da6ec4dcfaa48b8a9aa02c612b.jpg
Lion Air,gs://bq-mm-benchmark-mmqa-images/0d2a42ad9a8d7cb63d92301462adb06a.jpg
Canadian North,gs://bq-mm-benchmark-mmqa-images/0bfaa418914214344c69f91bff67403d.jpg
Biman Bangladesh Airlines,gs://bq-mm-benchmark-mmqa-images/0b090c757366cb2a60cb9a81c4a08357.jpg
Royal Air Maroc,gs://bq-mm-benchmark-mmqa-images/0db43becf71e08ff0b99ec74197f699d.jpg
Canadian North,gs://bq-mm-benchmark-mmqa-images/00a5d23fa78de769d00d2ced7d067dbf.jpg
Trigana Air,gs://bq-mm-benchmark-mmqa-images/0db43becf71e08ff0b99ec74197f699d.jpg
Fiji Link,gs://bq-mm-benchmark-mmqa-images/00a5d23fa78de769d00d2ced7d067dbf.jpg
Donghai Airlines,gs://bq-mm-benchmark-mmqa-images/0dcef8612118d0b41e55d3786f1fa59c.jpg
Toki Air,gs://bq-mm-benchmark-mmqa-images/0a259e302f78dde3fca7cacc3e0c64d1.jpg
SalamAir,gs://bq-mm-benchmark-mmqa-images/0d2c5f6f8bf9b291cf6d074b32eefdee.jpg
Philippines AirAsia,gs://bq-mm-benchmark-mmqa-images/0b9b06c9b1ab7e23f6cb7832e6d6e5ca.jpg
Libyan Airlines,gs://bq-mm-benchmark-mmqa-images/0a3f01280b2731cbb5b6ae0d11070cca.jpg
flydubai,gs://bq-mm-benchmark-mmqa-images/0c799fb88d645302e363c03b68a608ce.jpg
Viva,gs://bq-mm-benchmark-mmqa-images/0b7b1e2bb45373134a4c1e94dd7ee85e.jpg
Lion Air,gs://bq-mm-benchmark-mmqa-images/0b5d7b5f35eb4db98b31bc313f4e2eed.jpg
Fiji Link,gs://bq-mm-benchmark-mmqa-images/0dd1e204dee106509d29927739e8379c.jpg
Lion Air,gs://bq-mm-benchmark-mmqa-images/0b7941aedd125dfe73e5c208d43fe458.jpg
SalamAir,gs://bq-mm-benchmark-mmqa-images/0a30bd537b70fb9064b23fbdb3d7c7d8.jpg
Lion Air,gs://bq-mm-benchmark-mmqa-images/0d67a3e20fb8748df737f766d0a799c8.jpg
J-Air,gs://bq-mm-benchmark-mmqa-images/0b11dd24b79234099302c12f0420ba4a.jpg
Canadian North,gs://bq-mm-benchmark-mmqa-images/0a185b6389ce9219c35af51be1b2af0b.jpg
Flynas,gs://bq-mm-benchmark-mmqa-images/0a185b6389ce9219c35af51be1b2af0b.jpg
Lucky Air,gs://bq-mm-benchmark-mmqa-images/0a8323480f0ef71d2096efacd8ca1742.jpg
Frontier Airlines,gs://bq-mm-benchmark-mmqa-images/0b1b6c9d0b68e855506d2c8286fc1878.jpg
Avelo Airlines,gs://bq-mm-benchmark-mmqa-images/0cfd65a6d9a5d68ff8a8ae90a82ec189.jpg
Royal Air Maroc,gs://bq-mm-benchmark-mmqa-images/42c88eafedfab5203c72e1d2ec1c2f37.jpg
Juneyao Air,gs://bq-mm-benchmark-mmqa-images/00bf9d8d2a3bcac48f8bc46d21fc4928.jpg
Donghai Airlines,gs://bq-mm-benchmark-mmqa-images/0caf09a1166b2aae07b4d0f67568c404.jpg
Flynas,gs://bq-mm-benchmark-mmqa-images/0c9b4d169ebf6db45752c66ad16f568c.jpg
Kam Air,gs://bq-mm-benchmark-mmqa-images/0a8c89db01ee28d3037bc56168b1260b.jpg
Copa Airlines,gs://bq-mm-benchmark-mmqa-images/0c848cd78eb513064986821462edaf36.jpg
Skymark Airlines,gs://bq-mm-benchmark-mmqa-images/0c848cd78eb513064986821462edaf36.jpg
